Timestamp,Jenis kelamin ,Pekerjaan ,"Seberapa sering Anda menggunakan aplikasi ""Trans Semarang"" untuk memperoleh informasi terkait jadwal, rute, dan lokasi bus BRT secara real-time?",Seberapa andal menurut Anda informasi real-time yang disediakan oleh sistem informasi BRT Trans Semarang?,Seberapa akurat menurut Anda informasi terkait jadwal dan rute yang disediakan oleh sistem informasi BRT Trans Semarang?,"Seberapa jelas menurut Anda pengumuman suara dan visual di dalam bus terkait dengan informasi rute, halte, dan perhentian yang disediakan oleh sistem informasi BRT Trans Semarang?",Seberapa puas Anda dengan kinerja sistem informasi BRT Trans Semarang secara keseluruhan?,Seberapa besar kemungkinan Anda akan menggunakan kembali layanan bus BRT Trans Semarang di Koridor 1 berdasarkan pengalaman Anda dengan sistem informasi saat ini?
17/03/2024 12:00:14,Laki-laki,Pelajar/Mahasiswa,Kadang-kadang,Netral,Akurat,Jelas,Puas,Besar
17/03/2024 12:04:51,Laki-laki,Pelajar/Mahasiswa,Sering,Andal,Akurat,Netral,Puas,Besar
17/03/2024 12:05:58,Perempuan,Pelajar/Mahasiswa,Jarang,Netral,Akurat,Netral,Netral,Netral
17/03/2024 12:15:38,Perempuan,Karyawan swasta,Sering,Sangat andal,Sangat akurat,Sangat Jelas,Sangat Puas,Sangat besar
17/03/2024 12:55:26,Laki-laki,Pelajar/Mahasiswa,Sangat sering,Sangat andal,Sangat akurat,Sangat Jelas,Sangat Puas,Sangat besar
17/03/2024 12:56:00,Perempuan,Karyawan swasta,Jarang,Netral,Akurat,Jelas,Puas,Sangat besar
17/03/2024 12:56:47,Laki-laki,Pelajar/Mahasiswa,Sering,Andal,Sangat akurat,Jelas,Puas,Sangat besar
17/03/2024 12:57:43,Laki-laki,Karyawan swasta,Jarang,Netral,Akurat,Jelas,Puas,Besar
17/03/2024 12:58:20,Perempuan,Pelajar/Mahasiswa,Sering,Andal,Akurat,Jelas,Puas,Sangat besar
17/03/2024 12:59:19,Laki-laki,Wiraswasta,Sangat Jarang,Netral,Netral,Jelas,Netral,Besar
17/03/2024 13:00:08,Laki-laki,Pelajar/Mahasiswa,Sangat sering,Sangat andal,Sangat akurat,Sangat Jelas,Sangat Puas,Sangat besar
17/03/2024 13:01:21,Laki-laki,Wiraswasta,Kadang-kadang,Andal,Akurat,Jelas,Puas,Besar
17/03/2024 13:03:03,Laki-laki,Pelajar/Mahasiswa,Sering,Sangat andal,Akurat,Jelas,Puas,Sangat besar
17/03/2024 13:03:47,Perempuan,Pelajar/Mahasiswa,Sangat sering,Netral,Akurat,Jelas,Netral,Besar
17/03/2024 13:04:30,Perempuan,Wiraswasta,Kadang-kadang,Andal,Netral,Jelas,Netral,Besar
17/03/2024 13:05:11,Laki-laki,Pelajar/Mahasiswa,Sering,Andal,Akurat,Jelas,Puas,Sangat besar
17/03/2024 13:06:18,Laki-laki,PNS/TNI/Polri,Kadang-kadang,Andal,Akurat,Jelas,Puas,Besar
17/03/2024 13:06:49,Perempuan,Karyawan swasta,Kadang-kadang,Andal,Akurat,Jelas,Puas,Besar
17/03/2024 13:07:48,Perempuan,Pelajar/Mahasiswa,Sangat sering,Andal,Akurat,Jelas,Puas,Besar
17/03/2024 13:10:09,Laki-laki,Pelajar/Mahasiswa,Sering,Andal,Akurat,Netral,Puas,Sangat besar
17/03/2024 13:11:32,Laki-laki,PNS/TNI/Polri,Kadang-kadang,Netral,Netral,Netral,Netral,Netral
17/03/2024 13:12:34,Perempuan,Pelajar/Mahasiswa,Kadang-kadang,Andal,Akurat,Jelas,Puas,Besar
17/03/2024 13:12:59,Laki-laki,Pelajar/Mahasiswa,Sering,Andal,Akurat,Jelas,Puas,Sangat besar
17/03/2024 13:13:48,Perempuan,Wiraswasta,Jarang,Netral,Akurat,Netral,Netral,Besar
17/03/2024 13:15:08,Laki-laki,Pelajar/Mahasiswa,Sering,Andal,Akurat,Jelas,Puas,Sangat besar
17/03/2024 14:32:23,Laki-laki,Pelajar/Mahasiswa,Sangat Jarang,Andal,Akurat,Jelas,Puas,Netral
18/03/2024 12:34:57,Laki-laki,Pelajar/Mahasiswa,Sering,Netral,Akurat,Jelas,Puas,Besar
18/03/2024 12:35:44,Perempuan,Karyawan swasta,Kadang-kadang,Andal,Akurat,Netral,Netral,Besar
18/03/2024 12:36:58,Perempuan,PNS/TNI/Polri,Kadang-kadang,Netral,Akurat,Netral,Netral,Besar
18/03/2024 12:37:38,Laki-laki,Pelajar/Mahasiswa,Sangat sering,Sangat andal,Sangat akurat,Sangat Jelas,Sangat Puas,Sangat besar
18/03/2024 12:40:50,Perempuan,Wiraswasta,Jarang,Andal,Akurat,Jelas,Puas,Besar
18/03/2024 12:52:06,Perempuan,Karyawan swasta,Sering,Andal,Akurat,Jelas,Puas,Sangat besar
18/03/2024 12:54:02,Laki-laki,Karyawan swasta,Sangat sering,Sangat andal,Sangat akurat,Sangat Jelas,Sangat Puas,Sangat besar
18/03/2024 12:59:10,Laki-laki,Pelajar/Mahasiswa,Sering,Andal,Akurat,Jelas,Puas,Besar
20/03/2024 14:00:43,Laki-laki,Pelajar/Mahasiswa,Sering,Andal,Akurat,Jelas,Puas,Besar
20/03/2024 14:01:07,Perempuan,Pelajar/Mahasiswa,Sering,Netral,Akurat,Jelas,Puas,Besar
20/03/2024 14:01:32,Laki-laki,Karyawan swasta,Kadang-kadang,Andal,Sangat akurat,Jelas,Puas,Sangat besar
20/03/2024 14:02:26,Laki-laki,Karyawan swasta,Sangat sering,Sangat andal,Sangat akurat,Sangat Jelas,Sangat Puas,Sangat besar
20/03/2024 14:02:55,Perempuan,Wiraswasta,Kadang-kadang,Andal,Akurat,Jelas,Puas,Besar
20/03/2024 14:03:45,Perempuan,Pelajar/Mahasiswa,Sering,Andal,Akurat,Jelas,Puas,Besar
20/03/2024 14:04:11,Laki-laki,Wiraswasta,Sering,Andal,Akurat,Jelas,Puas,Besar
20/03/2024 14:04:33,Laki-laki,Pelajar/Mahasiswa,Sangat sering,Sangat andal,Sangat akurat,Sangat Jelas,Sangat Puas,Sangat besar
20/03/2024 14:05:29,Laki-laki,Wiraswasta,Sering,Andal,Akurat,Jelas,Puas,Besar
20/03/2024 14:05:52,Laki-laki,Pelajar/Mahasiswa,Sering,Sangat andal,Sangat akurat,Netral,Puas,Sangat besar
20/03/2024 14:06:14,Perempuan,Karyawan swasta,Sering,Andal,Akurat,Jelas,Puas,Besar
20/03/2024 14:06:58,Perempuan,Pelajar/Mahasiswa,Sangat sering,Netral,Sangat akurat,Sangat Jelas,Sangat Puas,Sangat besar